Unnamed: 0,BGP,BGR,BGW,BPG,BPR,BPW,BRG,BRP,BRW,BWG,BWP,BWR,GBP,GBPRW,GBPWR,GBR,GBRPW,GBRWP,GBW,GBWPR,GBWRP,GPB,GPBRW,GPBWR,GPR,GPRBW,GPRWB,GPW,GPWBR,GPWRB,GRB,GRBPW,GRBWP,GRP,GRPBW,GRPWB,GRW,GRWBP,GRWPB,GWB,GWBPR,GWBRP,GWP,GWPBR,GWPRB,GWR,GWRBP,GWRPB,PBG,PBR,PBW,PGB,PGR,PGW,PRB,PRG,PRW,PWB,PWG,PWR,RBG,RBP,RBW,RGB,RGP,RGW,RPB,RPG,RPW,RWB,RWG,RWP,WBG,WBP,WBR,WGB,WGP,WGR,WPB,WPG,WPR,WRB,WRG,WRP
BGP,,"[[4, ['GPW', 'PWB', 'WBG', 'BGR']]]","[[4, ['GPR', 'PRB', 'RBG', 'BGW']]]","[[5, ['GPR', 'PRW', 'RWB', 'WBP', 'BPG']], [5, ['GPW', 'PWR', 'WRB', 'RBP', 'BPG']]]","[[5, ['GPR', 'PRW', 'RWB', 'WBP', 'BPR']]]","[[5, ['GPW', 'PWR', 'WRB', 'RBP', 'BPW']]]","[[4, ['GPW', 'PWB', 'WBR', 'BRG']]]","[[4, ['GPW', 'PWB', 'WBR', 'BRP']]]","[[6, ['GPR', 'PRW', 'RWG', 'WGB', 'GBR', 'BRW']]]","[[4, ['GPR', 'PRB', 'RBW', 'BWG']]]","[[4, ['GPR', 'PRB', 'RBW', 'BWP']]]","[[6, ['GPW', 'PWR', 'WRG', 'RGB', 'GBW', 'BWR']]]","[[5, ['GPR', 'PRW', 'RWG', 'WGB', 'GBP']], [5, ['GPW', 'PWR', 'WRG', 'RGB', 'GBP']]]","[[2, ['GPR', 'PRW', 'GBPRW']]]","[[2, ['GPW', 'PWR', 'GBPWR']]]","[[5, ['GPR', 'PRW', 'RWG', 'WGB', 'GBR']]]","[[4, ['GPR', 'PRW', 'RWG', 'WGB', 'GBRPW']], [4, ['GPW', 'PWB', 'WBR', 'BRP', 'GBRPW']]]","[[5, ['GPR', 'PRB', 'RBW', 'BWP', 'WPG', 'GBRWP']], [5, ['GPR', 'PRW', 'RWG', 'WGB', 'GBR', 'GBRWP']]]","[[5, ['GPW', 'PWR', 'WRG', 'RGB', 'GBW']]]","[[4, ['GPR', 'PRB', 'RBW', 'BWP', 'GBWPR']], [4, ['GPW', 'PWR', 'WRG', 'RGB', 'GBWPR']]]","[[5, ['GPW', 'PWB', 'WBR', 'BRP', 'RPG', 'GBWRP']], [5, ['GPW', 'PWR', 'WRG', 'RGB', 'GBW', 'GBWRP']]]","[[5, ['GPR', 'PRW', 'RWG', 'WGP', 'GPB']], [5, ['GPW', 'PWR', 'WRG', 'RGP', 'GPB']]]","[[3, ['GPR', 'PRW', 'RWG', 'GPBRW']]]","[[3, ['GPW', 'PWR', 'WRG', 'GPBWR']]]","[[1, ['GPR']]]","[[1, ['GPR', 'GPRBW']]]","[[0, ['GPRWB']]]","[[1, ['GPW']]]","[[1, ['GPW', 'GPWBR']]]","[[0, ['GPWRB']]]","[[6, ['GPR', 'PRB', 'RBW', 'BWG', 'WGR', 'GRB']]]","[[4, ['GPW', 'PWR', 'WRB', 'RBP', 'GRBPW']]]","[[3, ['GPR', 'PRB', 'RBW', 'GRBWP']]]","[[5, ['GPW', 'PWB', 'WBG', 'BGR', 'GRP']]]","[[4, ['GPR', 'PRB', 'RBW', 'BWG', 'GRPBW']]]","[[2, ['GPW', 'PWB', 'GRPWB']]]","[[5, ['GPW', 'PWB', 'WBG', 'BGR', 'GRW']]]","[[3, ['GPR', 'PRW', 'RWB', 'GRWBP']]]","[[4, ['GPW', 'PWB', 'WBG', 'BGR', 'GRWPB']]]","[[6, ['GPW', 'PWB', 'WBR', 'BRG', 'RGW', 'GWB']]]","[[4, ['GPR', 'PRW', 'RWB', 'WBP', 'GWBPR']]]","[[3, ['GPW', 'PWB', 'WBR', 'GWBRP']]]","[[5, ['GPR', 'PRB', 'RBG', 'BGW', 'GWP']]]","[[4, ['GPW', 'PWB', 'WBR', 'BRG', 'GWPBR']]]","[[2, ['GPR', 'PRB', 'GWPRB']]]","[[5, ['GPR', 'PRB', 'RBG', 'BGW', 'GWR']]]","[[3, ['GPW', 'PWR', 'WRB', 'GWRBP']]]","[[4, ['GPR', 'PRB', 'RBG', 'BGW', 'GWRPB']]]","[[7, ['GPR', 'PRB', 'RBG', 'BGW', 'GWP', 'WPB', 'PBG']], [7, ['GPW', 'PWB', 'WBG', 'BGR', 'GRP', 'RPB', 'PBG']]]","[[6, ['GPR', 'PRW', 'RWG', 'WGP', 'GPB', 'PBR']], [6, ['GPW', 'PWR', 'WRG', 'RGP', 'GPB', 'PBR']]]","[[6, ['GPR', 'PRW', 'RWG', 'WGP', 'GPB', 'PBW']], [6, ['GPW', 'PWR', 'WRG', 'RGP', 'GPB', 'PBW']]]","[[6, ['GPR', 'PRB', 'RBW', 'BWP', 'WPG', 'PGB']], [6, ['GPW', 'PWB', 'WBR', 'BRP', 'RPG', 'PGB']]]","[[6, ['GPR', 'PRB', 'RBW', 'BWP', 'WPG', 'PGR']], [6, ['GPR', 'PRW', 'RWB', 'WBP', 'BPG', 'PGR']], [6, ['GPW', 'PWR', 'WRB', 'RBP', 'BPG', 'PGR']]]","[[6, ['GPR', 'PRW', 'RWB', 'WBP', 'BPG', 'PGW']], [6, ['GPW', 'PWB', 'WBR', 'BRP', 'RPG', 'PGW']], [6, ['GPW', 'PWR', 'WRB', 'RBP', 'BPG', 'PGW']]]","[[2, ['GPR', 'PRB']]]","[[6, ['GPR', 'PRB', 'RBW', 'BWP', 'WPR', 'PRG']], [6, ['GPR', 'PRW', 'RWB', 'WBP', 'BPR', 'PRG']]]","[[2, ['GPR', 'PRW']]]","[[2, ['GPW', 'PWB']]]","[[6, ['GPW', 'PWB', 'WBR', 'BRP', 'RPW', 'PWG']], [6, ['GPW', 'PWR', 'WRB', 'RBP', 'BPW', 'PWG']]]","[[2, ['GPW', 'PWR']]]","[[3, ['GPR', 'PRB', 'RBG']]]","[[4, ['GPW', 'PWR', 'WRB', 'RBP']]]","[[3, ['GPR', 'PRB', 'RBW']]]","[[4, ['GPW', 'PWR', 'WRG', 'RGB']]]","[[4, ['GPW', 'PWR', 'WRG', 'RGP']]]","[[5, ['GPW', 'PWB', 'WBR', 'BRG', 'RGW']]]","[[6, ['GPW', 'PWB', 'WBG', 'BGR', 'GRP', 'RPB']]]","[[5, ['GPW', 'PWB', 'WBR', 'BRP', 'RPG']]]","[[5, ['GPW', 'PWB', 'WBR', 'BRP', 'RPW']]]","[[3, ['GPR', 'PRW', 'RWB']]]","[[3, ['GPR', 'PRW', 'RWG']]]","[[6, ['GPW', 'PWB', 'WBG', 'BGR', 'GRW', 'RWP']]]","[[3, ['GPW', 'PWB', 'WBG']]]","[[4, ['GPR', 'PRW', 'RWB', 'WBP']]]","[[3, ['GPW', 'PWB', 'WBR']]]","[[4, ['GPR', 'PRW', 'RWG', 'WGB']]]","[[4, ['GPR', 'PRW', 'RWG', 'WGP']]]","[[5, ['GPR', 'PRB', 'RBW', 'BWG', 'WGR']]]","[[6, ['GPR', 'PRB', 'RBG', 'BGW', 'GWP', 'WPB']]]","[[5, ['GPR', 'PRB', 'RBW', 'BWP', 'WPG']]]","[[5, ['GPR', 'PRB', 'RBW', 'BWP', 'WPR']]]","[[3, ['GPW', 'PWR', 'WRB']]]","[[3, ['GPW', 'PWR', 'WRG']]]","[[6, ['GPR', 'PRB', 'RBG', 'BGW', 'GWR', 'WRP']]]"
BGR,"[[4, ['GRW', 'RWB', 'WBG', 'BGP']]]",,"[[4, ['GRP', 'RPB', 'PBG', 'BGW']]]","[[4, ['GRW', 'RWB', 'WBP', 'BPG']]]","[[4, ['GRW', 'RWB', 'WBP', 'BPR']]]","[[6, ['GRP', 'RPW', 'PWG', 'WGB', 'GBP', 'BPW']]]","[[5, ['GRP', 'RPW', 'PWB', 'WBR', 'BRG']], [5, ['GRW', 'RWP', 'WPB', 'PBR', 'BRG']]]","[[5, ['GRP', 'RPW', 'PWB', 'WBR', 'BRP']]]","[[5, ['GRW', 'RWP', 'WPB', 'PBR', 'BRW']]]","[[4, ['GRP', 'RPB', 'PBW', 'BWG']]]","[[6, ['GRW', 'RWP', 'WPG', 'PGB', 'GBW', 'BWP']]]","[[4, ['GRP', 'RPB', 'PBW', 'BWR']]]","[[5, ['GRP', 'RPW', 'PWG', 'WGB', 'GBP']]]","[[4, ['GRP', 'RPW', 'PWG', 'WGB', 'GBPRW']], [4, ['GRW', 'RWB', 'WBP', 'BPR', 'GBPRW']]]","[[5, ['GRP', 'RPB', 'PBW', 'BWR', 'WRG', 'GBPWR']], [5, ['GRP', 'RPW', 'PWG', 'WGB', 'GBP', 'GBPWR']]]","[[5, ['GRP', 'RPW', 'PWG', 'WGB', 'GBR']], [5, ['GRW', 'RWP', 'WPG', 'PGB', 'GBR']]]","[[2, ['GRP', 'RPW', 'GBRPW']]]","[[2, ['GRW', 'RWP', 'GBRWP']]]","[[5, ['GRW', 'RWP', 'WPG', 'PGB', 'GBW']]]","[[5, ['GRW', 'RWB', 'WBP', 'BPR', 'PRG', 'GBWPR']], [5, ['GRW', 'RWP', 'WPG', 'PGB', 'GBW', 'GBWPR']]]","[[4, ['GRP', 'RPB', 'PBW', 'BWR', 'GBWRP']], [4, ['GRW', 'RWP', 'WPG', 'PGB', 'GBWRP']]]","[[6, ['GRP', 'RPB', 'PBW', 'BWG', 'WGP', 'GPB']]]","[[4, ['GRW', 'RWP', 'WPB', 'PBR', 'GPBRW']]]","[[3, ['GRP', 'RPB', 'PBW', 'GPBWR']]]","[[5, ['GRW', 'RWB', 'WBG', 'BGP', 'GPR']]]","[[4, ['GRP', 'RPB', 'PBW', 'BWG', 'GPRBW']]]","[[2, ['GRW', 'RWB', 'GPRWB']]]","[[5, ['GRW', 'RWB', 'WBG', 'BGP', 'GPW']]]","[[3, ['GRP', 'RPW', 'PWB', 'GPWBR']]]","[[4, ['GRW', 'RWB', 'WBG', 'BGP', 'GPWRB']]]","[[5, ['GRP', 'RPW', 'PWG', 'WGR', 'GRB']], [5, ['GRW', 'RWP', 'WPG', 'PGR', 'GRB']]]","[[3, ['GRP', 'RPW', 'PWG', 'GRBPW']]]","[[3, ['GRW', 'RWP', 'WPG', 'GRBWP']]]","[[1, ['GRP']]]","[[1, ['GRP', 'GRPBW']]]","[[0, ['GRPWB']]]","[[1, ['GRW']]]","[[1, ['GRW', 'GRWBP']]]","[[0, ['GRWPB']]]","[[6, ['GRW', 'RWB', 'WBP', 'BPG', 'PGW', 'GWB']]]","[[3, ['GRW', 'RWB', 'WBP', 'GWBPR']]]","[[4, ['GRP', 'RPW', 'PWB', 'WBR', 'GWBRP']]]","[[5, ['GRP', 'RPB', 'PBG', 'BGW', 'GWP']]]","[[3, ['GRW', 'RWP', 'WPB', 'GWPBR']]]","[[4, ['GRP', 'RPB', 'PBG', 'BGW', 'GWPRB']]]","[[5, ['GRP', 'RPB', 'PBG', 'BGW', 'GWR']]]","[[4, ['GRW', 'RWB', 'WBP', 'BPG', 'GWRBP']]]","[[2, ['GRP', 'RPB', 'GWRPB']]]","[[3, ['GRP', 'RPB', 'PBG']]]","[[4, ['GRW', 'RWP', 'WPB', 'PBR']]]","[[3, ['GRP', 'RPB', 'PBW']]]","[[4, ['GRW', 'RWP', 'WPG', 'PGB']]]","[[4, ['GRW', 'RWP', 'WPG', 'PGR']]]","[[5, ['GRW', 'RWB', 'WBP', 'BPG', 'PGW']]]","[[6, ['GRW', 'RWB', 'WBG', 'BGP', 'GPR', 'PRB']]]","[[5, ['GRW', 'RWB', 'WBP', 'BPR', 'PRG']]]","[[5, ['GRW', 'RWB', 'WBP', 'BPR', 'PRW']]]","[[3, ['GRP', 'RPW', 'PWB']]]","[[3, ['GRP', 'RPW', 'PWG']]]","[[6, ['GRW', 'RWB', 'WBG', 'BGP', 'GPW', 'PWR']]]","[[7, ['GRP', 'RPB', 'PBG', 'BGW', 'GWR', 'WRB', 'RBG']], [7, ['GRW', 'RWB', 'WBG', 'BGP', 'GPR', 'PRB', 'RBG']]]","[[6, ['GRP', 'RPW', 'PWG', 'WGR', 'GRB', 'RBP']], [6, ['GRW', 'RWP', 'WPG', 'PGR', 'GRB', 'RBP']]]","[[6, ['GRP', 'RPW', 'PWG', 'WGR', 'GRB', 'RBW']], [6, ['GRW', 'RWP', 'WPG', 'PGR', 'GRB', 'RBW']]]","[[6, ['GRP', 'RPB', 'PBW', 'BWR', 'WRG', 'RGB']], [6, ['GRW', 'RWB', 'WBP', 'BPR', 'PRG', 'RGB']]]","[[6, ['GRP', 'RPB', 'PBW', 'BWR', 'WRG', 'RGP']], [6, ['GRP', 'RPW', 'PWB', 'WBR', 'BRG', 'RGP']], [6, ['GRW', 'RWP', 'WPB', 'PBR', 'BRG', 'RGP']]]","[[6, ['GRP', 'RPW', 'PWB', 'WBR', 'BRG', 'RGW']], [6, ['GRW', 'RWB', 'WBP', 'BPR', 'PRG', 'RGW']], [6, ['GRW', 'RWP', 'WPB', 'PBR', 'BRG', 'RGW']]]","[[2, ['GRP', 'RPB']]]","[[6, ['GRP', 'RPB', 'PBW', 'BWR', 'WRP', 'RPG']], [6, ['GRP', 'RPW', 'PWB', 'WBR', 'BRP', 'RPG']]]","[[2, ['GRP', 'RPW']]]","[[2, ['GRW', 'RWB']]]","[[6, ['GRW', 'RWB', 'WBP', 'BPR', 'PRW', 'RWG']], [6, ['GRW', 'RWP', 'WPB', 'PBR', 'BRW', 'RWG']]]","[[2, ['GRW', 'RWP']]]","[[3, ['GRW', 'RWB', 'WBG']]]","[[3, ['GRW', 'RWB', 'WBP']]]","[[4, ['GRP', 'RPW', 'PWB', 'WBR']]]","[[4, ['GRP', 'RPW', 'PWG', 'WGB']]]","[[5, ['GRP', 'RPB', 'PBW', 'BWG', 'WGP']]]","[[4, ['GRP', 'RPW', 'PWG', 'WGR']]]","[[3, ['GRW', 'RWP', 'WPB']]]","[[3, ['GRW', 'RWP', 'WPG']]]","[[6, ['GRP', 'RPB', 'PBG', 'BGW', 'GWP', 'WPR']]]","[[6, ['GRP', 'RPB', 'PBG', 'BGW', 'GWR', 'WRB']]]","[[5, ['GRP', 'RPB', 'PBW', 'BWR', 'WRG']]]","[[5, ['GRP', 'RPB', 'PBW', 'BWR', 'WRP']]]"
BGW,"[[4, ['GWR', 'WRB', 'RBG', 'BGP']]]","[[4, ['GWP', 'WPB', 'PBG', 'BGR']]]",,"[[4, ['GWR', 'WRB', 'RBP', 'BPG']]]","[[6, ['GWP', 'WPR', 'PRG', 'RGB', 'GBP', 'BPR']]]","[[4, ['GWR', 'WRB', 'RBP', 'BPW']]]","[[4, ['GWP', 'WPB', 'PBR', 'BRG']]]","[[6, ['GWR', 'WRP', 'RPG', 'PGB', 'GBR', 'BRP']]]","[[4, ['GWP', 'WPB', 'PBR', 'BRW']]]","[[5, ['GWP', 'WPR', 'PRB', 'RBW', 'BWG']], [5, ['GWR', 'WRP', 'RPB', 'PBW', 'BWG']]]","[[5, ['GWP', 'WPR', 'PRB', 'RBW', 'BWP']]]","[[5, ['GWR', 'WRP', 'RPB', 'PBW', 'BWR']]]","[[5, ['GWP', 'WPR', 'PRG', 'RGB', 'GBP']]]","[[5, ['GWP', 'WPB', 'PBR', 'BRW', 'RWG', 'GBPRW']], [5, ['GWP', 'WPR', 'PRG', 'RGB', 'GBP', 'GBPRW']]]","[[4, ['GWP', 'WPR', 'PRG', 'RGB', 'GBPWR']], [4, ['GWR', 'WRB', 'RBP', 'BPW', 'GBPWR']]]","[[5, ['GWR', 'WRP', 'RPG', 'PGB', 'GBR']]]","[[5, ['GWR', 'WRB', 'RBP', 'BPW', 'PWG', 'GBRPW']], [5, ['GWR', 'WRP', 'RPG', 'PGB', 'GBR', 'GBRPW']]]","[[4, ['GWP', 'WPB', 'PBR', 'BRW', 'GBRWP']], [4, ['GWR', 'WRP', 'RPG', 'PGB', 'GBRWP']]]","[[5, ['GWP', 'WPR', 'PRG', 'RGB', 'GBW']], [5, ['GWR', 'WRP', 'RPG', 'PGB', 'GBW']]]","[[2, ['GWP', 'WPR', 'GBWPR']]]","[[2, ['GWR', 'WRP', 'GBWRP']]]","[[6, ['GWP', 'WPB', 'PBR', 'BRG', 'RGP', 'GPB']]]","[[3, ['GWP', 'WPB', 'PBR', 'GPBRW']]]","[[4, ['GWR', 'WRP', 'RPB', 'PBW', 'GPBWR']]]","[[5, ['GWR', 'WRB', 'RBG', 'BGP', 'GPR']]]","[[3, ['GWP', 'WPR', 'PRB', 'GPRBW']]]","[[4, ['GWR', 'WRB', 'RBG', 'BGP', 'GPRWB']]]","[[5, ['GWR', 'WRB', 'RBG', 'BGP', 'GPW']]]","[[4, ['GWP', 'WPB', 'PBR', 'BRG', 'GPWBR']]]","[[2, ['GWR', 'WRB', 'GPWRB']]]","[[6, ['GWR', 'WRB', 'RBP', 'BPG', 'PGR', 'GRB']]]","[[3, ['GWR', 'WRB', 'RBP', 'GRBPW']]]","[[4, ['GWP', 'WPR', 'PRB', 'RBW', 'GRBWP']]]","[[5, ['GWP', 'WPB', 'PBG', 'BGR', 'GRP']]]","[[3, ['GWR', 'WRP', 'RPB', 'GRPBW']]]","[[4, ['GWP', 'WPB', 'PBG', 'BGR', 'GRPWB']]]","[[5, ['GWP', 'WPB', 'PBG', 'BGR', 'GRW']]]","[[4, ['GWR', 'WRB', 'RBP', 'BPG', 'GRWBP']]]","[[2, ['GWP', 'WPB', 'GRWPB']]]","[[5, ['GWP', 'WPR', 'PRG', 'RGW', 'GWB']], [5, ['GWR', 'WRP', 'RPG', 'PGW', 'GWB']]]","[[3, ['GWP', 'WPR', 'PRG', 'GWBPR']]]","[[3, ['GWR', 'WRP', 'RPG', 'GWBRP']]]","[[1, ['GWP']]]","[[1, ['GWP', 'GWPBR']]]","[[0, ['GWPRB']]]","[[1, ['GWR']]]","[[1, ['GWR', 'GWRBP']]]","[[0, ['GWRPB']]]","[[3, ['GWP', 'WPB', 'PBG']]]","[[3, ['GWP', 'WPB', 'PBR']]]","[[4, ['GWR', 'WRP', 'RPB', 'PBW']]]","[[4, ['GWR', 'WRP', 'RPG', 'PGB']]]","[[5, ['GWR', 'WRB', 'RBP', 'BPG', 'PGR']]]","[[4, ['GWR', 'WRP', 'RPG', 'PGW']]]","[[3, ['GWP', 'WPR', 'PRB']]]","[[3, ['GWP', 'WPR', 'PRG']]]","[[6, ['GWR', 'WRB', 'RBG', 'BGP', 'GPR', 'PRW']]]","[[6, ['GWR', 'WRB', 'RBG', 'BGP', 'GPW', 'PWB']]]","[[5, ['GWR', 'WRB', 'RBP', 'BPW', 'PWG']]]","[[5, ['GWR', 'WRB', 'RBP', 'BPW', 'PWR']]]","[[3, ['GWR', 'WRB', 'RBG']]]","[[3, ['GWR', 'WRB', 'RBP']]]","[[4, ['GWP', 'WPR', 'PRB', 'RBW']]]","[[4, ['GWP', 'WPR', 'PRG', 'RGB']]]","[[5, ['GWP', 'WPB', 'PBR', 'BRG', 'RGP']]]","[[4, ['GWP', 'WPR', 'PRG', 'RGW']]]","[[3, ['GWR', 'WRP', 'RPB']]]","[[3, ['GWR', 'WRP', 'RPG']]]","[[6, ['GWP', 'WPB', 'PBG', 'BGR', 'GRP', 'RPW']]]","[[6, ['GWP', 'WPB', 'PBG', 'BGR', 'GRW', 'RWB']]]","[[5, ['GWP', 'WPB', 'PBR', 'BRW', 'RWG']]]","[[5, ['GWP', 'WPB', 'PBR', 'BRW', 'RWP']]]","[[7, ['GWP', 'WPB', 'PBG', 'BGR', 'GRW', 'RWB', 'WBG']], [7, ['GWR', 'WRB', 'RBG', 'BGP', 'GPW', 'PWB', 'WBG']]]","[[6, ['GWP', 'WPR', 'PRG', 'RGW', 'GWB', 'WBP']], [6, ['GWR', 'WRP', 'RPG', 'PGW', 'GWB', 'WBP']]]","[[6, ['GWP', 'WPR', 'PRG', 'RGW', 'GWB', 'WBR']], [6, ['GWR', 'WRP', 'RPG', 'PGW', 'GWB', 'WBR']]]","[[6, ['GWP', 'WPB', 'PBR', 'BRW', 'RWG', 'WGB']], [6, ['GWR', 'WRB', 'RBP', 'BPW', 'PWG', 'WGB']]]","[[6, ['GWP', 'WPB', 'PBR', 'BRW', 'RWG', 'WGP']], [6, ['GWP', 'WPR', 'PRB', 'RBW', 'BWG', 'WGP']], [6, ['GWR', 'WRP', 'RPB', 'PBW', 'BWG', 'WGP']]]","[[6, ['GWP', 'WPR', 'PRB', 'RBW', 'BWG', 'WGR']], [6, ['GWR', 'WRB', 'RBP', 'BPW', 'PWG', 'WGR']], [6, ['GWR', 'WRP', 'RPB', 'PBW', 'BWG', 'WGR']]]","[[2, ['GWP', 'WPB']]]","[[6, ['GWP', 'WPB', 'PBR', 'BRW', 'RWP', 'WPG']], [6, ['GWP', 'WPR', 'PRB', 'RBW', 'BWP', 'WPG']]]","[[2, ['GWP', 'WPR']]]","[[2, ['GWR', 'WRB']]]","[[6, ['GWR', 'WRB', 'RBP', 'BPW', 'PWR', 'WRG']], [6, ['GWR', 'WRP', 'RPB', 'PBW', 'BWR', 'WRG']]]","[[2, ['GWR', 'WRP']]]"
